Project ID,Title,Field,Content (excerpt),Quality Score
ui_45,Miti360: A Comprehensive Dataset for AI-Powered Forest Monitoring,model_characteristics,"Miti360 is a dataset designed to help monitor reforestation efforts using advanced technology. It combines high-resolution images taken from drones, ground measurements of trees, and historical weathe",100
ui_46,Data-enabled climate shock absorbance through agroforestry (Agrof4resilience),model_characteristics,"The Agrof4Resilience project focuses on using data to enhance agroforestry systems in Kenya, aiming to improve food security, reduce the impacts of climate change, and boost incomes through timber and",100
ui_47,AI-powered lifestock health system enabling local communities easy access to disease information on demand and in Kiswahili. ,data_characteristics,The LivHealth Kiswahili Corpus is a project designed to improve livestock health management in Kenya and Tanzania by providing local communities with easy access to disease information in Kiswahili. T,93
ui_47,AI-powered lifestock health system enabling local communities easy access to disease information on demand and in Kiswahili. ,model_characteristics,LivHealth is an AI-powered system designed to help local communities in Kenya access important information about livestock health in Kiswahili. It aims to empower farmers and livestock owners by enabl,93
ui_47,AI-powered lifestock health system enabling local communities easy access to disease information on demand and in Kiswahili. ,how_to_use,"The LivHealth Kiswahili Corpus project offers valuable resources for improving livestock health in Kenya and Tanzania, particularly for pastoralists and Community Disease Reporters (CDRs). Here’s a pr",93
ui_50,"Providing farmers in Kenya and Bihar, India with high-quality, personalized information through AI and developing blueprints for AI-powered Agriculture Information Exchange Platforms",model_characteristics,"The AI-powered Agriculture Information Exchange Platforms aim to provide farmers in Kenya and Bihar, India, with personalized information to improve their agricultural practices. 

The platform, speci",71
ui_51,"Making AI understand 3 East African languages:  Kiswahili, Kinyarwanda and Luganda - Open-source speech-to-text datasets - Mozilla Common Voice",model_characteristics,"The project aims to make artificial intelligence (AI) understand three East African languages: Kiswahili, Kinyarwanda, and Luganda. It does this by creating open-source speech-to-text datasets, which ",100
ui_51,"Making AI understand 3 East African languages:  Kiswahili, Kinyarwanda and Luganda - Open-source speech-to-text datasets - Mozilla Common Voice",how_to_use,"To leverage the Mozilla Common Voice datasets for Kiswahili, Kinyarwanda, and Luganda, here’s a practical guide for development practitioners and innovators:

1) **Immediate Use Cases**: 
   - **Speec",100
ui_54,Promoting energy conservation and market analysis in Pakistan through Residential Energy and Weather Data (REWD),model_characteristics,The Residential Energy and Weather Data (REWD) project in Pakistan provides a detailed dataset that helps understand how energy consumption in homes relates to weather conditions. This dataset is part,93
ui_55,Landslide and flood disaster hotspot monitoring using computer vision in Rwanda,description,"The iMaster-DocuCam Landslide Monitoring System addresses the critical issue of landslides and earth movements, which pose significant risks to communities and infrastructure. It was created to provid",93
ui_55,Landslide and flood disaster hotspot monitoring using computer vision in Rwanda,data_characteristics,The iMaster-DocuCam Landslide Monitoring System provides a comprehensive dataset for monitoring landslides and other earth movements in Rwanda. The system captures high-resolution images of targeted a,93
ui_55,Landslide and flood disaster hotspot monitoring using computer vision in Rwanda,model_characteristics,The iMaster-DocuCam Landslide Monitoring System is a tool designed to monitor and analyze areas prone to landslides and floods. It uses a camera to take high-resolution images of the landscape over ti,93
ui_55,Landslide and flood disaster hotspot monitoring using computer vision in Rwanda,how_to_use,The iMaster-DocuCam Landslide Monitoring System offers practical tools for monitoring landslides and flood disaster hotspots in Rwanda and similar regions. Here’s a guide for development practitioners,93
ui_56,Mbaza Chatbot Rwanda for health related inquiries by citizens,model_characteristics,"The Mbaza Chatbot is an AI application designed to help Rwandan citizens get answers to health-related questions, particularly during the coronavirus pandemic. It was developed as part of a global hac",100
ui_59,A large scale collection of voice data in Kinyarwanda to allow the building of inclusive language technology ,data_characteristics,"This dataset is part of the Common Voice project, which aims to create an open-source voice dataset for Kinyarwanda speakers. It contains over 2,380 hours of audio recordings in Kinyarwanda, specifica",100
ui_59,A large scale collection of voice data in Kinyarwanda to allow the building of inclusive language technology ,model_characteristics,"This project has created a large collection of voice recordings in Kinyarwanda, which is the largest open-source dataset of its kind. The main goal is to help develop speech recognition technology tha",100
ui_59,A large scale collection of voice data in Kinyarwanda to allow the building of inclusive language technology ,how_to_use,"This large-scale collection of voice data in Kinyarwanda offers a valuable resource for developing inclusive language technology. Here’s a practical guide for using and building on this dataset:

1. *",100
ui_60,"Solutions from space: Rwanda’s smart harvest planning - mapping crop type with AI for rice, maize, Irish potatoes and beans ",model_characteristics,"In Rwanda, a new approach is using satellite imagery and artificial intelligence (AI) to create detailed maps that show where different crops are grown, such as rice, maize, Irish potatoes, and beans.",100
ui_74,Voices of Mzansi - Making all official languages of South Africa AI-ready: translating the Common-Voice interface & enabling Open-source text-to-speech dataset collection,how_to_use,"The ""Voices of Mzansi"" project is a valuable resource for anyone interested in making South Africa's official languages more accessible through technology. Here’s a practical guide on how to utilize a",76
ui_80,Estimating Solar Irradiance for Improved Solar Energy Planning in Sub-Saharan Africa through AI,data_characteristics,"The dataset from the Solar Irradiance Portal focuses on predicting daily Global Horizontal Irradiance (GHI) specifically for Uganda, addressing the inaccuracies found in standard satellite-derived sol",93
ui_80,Estimating Solar Irradiance for Improved Solar Energy Planning in Sub-Saharan Africa through AI,model_characteristics,"The project focuses on improving solar energy planning in Sub-Saharan Africa, particularly in Uganda, by using an AI model to predict solar irradiance. In simple terms, the model takes satellite data ",93
ui_80,Estimating Solar Irradiance for Improved Solar Energy Planning in Sub-Saharan Africa through AI,how_to_use,"The Solar Irradiance Portal offers a valuable resource for development practitioners and innovators looking to enhance solar energy planning in Sub-Saharan Africa, particularly in Uganda. Here’s a pra",93
ui_86,KinyCOMET: Automatic evaluation of machine translation for Kinyarwanda-English,model_characteristics,"KinyCOMET is an AI model designed to automatically evaluate the quality of translations between Kinyarwanda and English. This tool addresses a significant challenge in the translation process, where p",94
ui_86,KinyCOMET: Automatic evaluation of machine translation for Kinyarwanda-English,how_to_use,"The KinyCOMET dataset is a valuable resource for anyone looking to improve machine translation (MT) between Kinyarwanda and English. Here’s a practical guide on how to use this dataset effectively.

1",94
ui_87,Tunga Agri-Chatbot Suite,data_characteristics,"The Kinyarwanda Agricultural Text-to-Speech Dataset is designed to support the Tunga Agri-Chatbot Suite, which aims to provide agricultural information to Rwandan farmers through voice technology. Her",100
ui_87,Tunga Agri-Chatbot Suite,model_characteristics,"The Tunga Agri-Chatbot Suite is an AI-powered voicebot designed to help farmers in Rwanda access important agricultural information. It operates through a telephone hotline that speaks Kinyarwanda, ma",100
ui_87,Tunga Agri-Chatbot Suite,how_to_use,The Tunga Agri-Chatbot Suite offers a valuable resource for development practitioners looking to enhance agricultural support for farmers in Rwanda. Here’s a practical guide on how to utilize and buil,100
